"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MODEL909",97.4541877065109,3.00571748060062,0.723281277488397,4.15566885823177,3.24337297765095e-05,0.000189395128465581
"MODEL410",15169.5178626882,-2.22244978245257,0.53526240502783,-4.15207524678857,3.29473885125341e-05,0.00019151609852263
"MODEL652",139.63842572602,9.48669779226014,2.28672331396284,4.14859888572173,3.34516346767775e-05,0.000193563322470626
"MODEL940",27.2627556665775,-4.62376858575124,1.12103026121836,-4.12457071473347,3.71426866074468e-05,0.000213948597517103
"MODEL103",317.101761165411,-2.0772731441657,0.504326087288426,-4.11890877058219,3.80670808329691e-05,0.000218285558109773
"MODEL1409",1951.5247802113,-1.65628701750607,0.40359657117274,-4.10381835676492,4.06386578490304e-05,0.00023192434450145
"MODEL60",2772.20480285288,2.51779399595503,0.613670161846082,4.10284571826149,4.08099396451884e-05,0.00023192434450145
"MODEL82",81.225065168038,8.70491345903424,2.12838547408672,4.08991395826429,4.31533242355059e-05,0.000244151918896884
"MODEL810",134.532017266398,9.43125650812795,2.30950182722735,4.08367570743625,4.43288825673664e-05,0.000249693219063086
"MODEL252",99.3991165794337,8.99433735993697,2.20382707230423,4.08123553475222,4.47969301448444e-05,0.000251218026759414
