"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MODEL52",42185.4362809168,-2.00936445633811,0.482018307808442,-4.1686475882502,3.06412324188272e-05,0.000244715788642255
"MODEL715",159.719470253202,3.05306930387218,0.734138610434952,4.15870962305516,3.2005044359024e-05,0.000253892365317895
"MODEL920",241.085285054616,2.25156458390274,0.543308316955292,4.14417470455916,3.4103968152547e-05,0.000268739269042071
"MODEL1137",325.885397499826,-2.37247826939998,0.574019334494063,-4.13309818473461,3.5790573939853e-05,0.000280161976138452
"MODEL178",91.7737077194417,4.87870907186016,1.18552069331098,4.11524581509807,3.86767007862657e-05,0.000300762239008987
"MODEL1240",77.7338886672314,5.22997926646382,1.27164213311842,4.11277601634545,3.90929636797636e-05,0.000302012307643664
"MODEL882",220.750734532589,10.1887935380679,2.48238228435783,4.10444177041959,4.05292335842507e-05,0.000311075026601197
"MODEL768",85.0213822378461,8.81085583474554,2.15073444139688,4.09667305509971,4.19130192223517e-05,0.000319620572392385
"MODEL496",198.557098532541,4.24670097505842,1.03846307831572,4.08940968989109,4.32472407071928e-05,0.000325593875897464
"MODEL736",92.0891329185747,8.92899809373347,2.18338441249853,4.08952177299631,4.32263492661152e-05,0.000325593875897464
"MODEL1367",97.5130024050404,9.00866563504709,2.2058161838566,4.08405092907449,4.42573243674169e-05,0.000326950983764292
"MODEL485",94.7959387841447,8.96998113521776,2.19531176791988,4.08597141704255,4.38927820004171e-05,0.000326950983764292
"MODEL869",97.3818527860949,9.00901055532059,2.20552750309228,4.08474187816267,4.41258406016253e-05,0.000326950983764292
"MODEL189",80.6414112004603,8.73422353298445,2.14093121809537,4.07963761710881,4.51059609156807e-05,0.000331150595045557
"MODEL55",170.168434460235,3.14630946803997,0.771698046639291,4.07712509023705,4.55959656499958e-05,0.000332681675298117
"MODEL158",285.347499008267,10.5589724936599,2.59212088256468,4.07348768519341,4.63143015307664e-05,0.000335849720302858
"MODEL1411",110.663111032415,9.19177544591266,2.26320560009998,4.06139656313443,4.87800301817421e-05,0.000351573144358653
"MODEL569",578.56970088175,5.31669604667944,1.31111873366412,4.055083578755,5.0116380028806e-05,0.000359015522388174
"MODEL1194",103.261150696603,9.09318396042546,2.25210625809316,4.03763540363525,5.39926813112463e-05,0.000382187370807633
"MODEL126",145.481285171912,2.60793500851689,0.645910008783068,4.03761355770039,5.39977080582696e-05,0.000382187370807633
"MODEL1222",109.015532377329,3.36159581990859,0.833119860073179,4.03494860825106,5.46142499856396e-05,0.000384250258827536
"MODEL567",1034.97428813932,-2.22255020713914,0.553126088238018,-4.01816196053791,5.86538779592186e-05,0.000410230081347908
"MODEL898",2860.24798873695,1.81727375792718,0.452811038063389,4.01331594233968,5.98716907335298e-05,0.000416284343806072
"MODEL368",192.411824362429,9.99062567868891,2.49103336545366,4.01063503092398,6.05556558319545e-05,0.0004185776911893
"MODEL76",142.533926110799,2.57690196301004,0.644197964448208,4.0001709182942,6.32967512334635e-05,0.000434981162546243
"MODEL905",145.534242800669,2.99722784577521,0.750435787939456,3.99398308815334,6.49724998779875e-05,0.00044391615523573
"MODEL390",70.9723944162666,8.55111692334279,2.14567589222975,3.98527892973464,6.74009035406522e-05,0.000457861310258913
"MODEL1428",402.649277746387,-2.10098639277822,0.528653219374881,-3.97422415257885,7.06090423977069e-05,0.000476913646366226
"MODEL164",117.503984571957,9.27883367155026,2.34141491553125,3.96291729842549,7.40394352746593e-05,0.000497242116446859
"MODEL309",396.212883155097,11.0323896674997,2.78812198364397,3.95692503133625,7.59207444313324e-05,0.000505498828167219
"MODEL54",80.8560938001312,8.73808111245611,2.20865789188077,3.95628546393631,7.61241890133376e-05,0.000505498828167219
"MODEL1004",219.779419382488,2.17710278091561,0.552484954838767,3.94056482778061,8.12899780035457e-05,0.000528402254072773
"MODEL1151",373.503086280583,4.15621145364178,1.05478121292455,3.94035407790211,8.13614299841325e-05,0.000528402254072773
"MODEL395",95.4516704340547,8.97946198509599,2.27866848636065,3.94066185530894,8.12571020362434e-05,0.000528402254072773
"MODEL550",145.462474572052,-2.82884448570983,0.717500295828335,-3.94263877263493,8.05899908693263e-05,0.000528402254072773
"MODEL1155",42.5300320957008,-3.29046856879582,0.835859138103876,-3.93663049046776,8.263369544817e-05,0.000530912177179128
"MODEL410",7303.07285119914,-2.12353485739857,0.539434549871089,-3.93659408338981,8.26462272427746e-05,0.000530912177179128
"MODEL853",851.998206055073,2.32511615319338,0.590886647510274,3.93496140586416,8.32100663320553e-05,0.000531644856240483
"MODEL401",661.225981401198,2.15855270929638,0.548790150957352,3.93329345566941,8.37898395404085e-05,0.000532341878231576
"MODEL99",96.1067026173918,3.50335988502679,0.890972420013759,3.9320632225324,8.42199079774151e-05,0.000532341878231576
"MODEL1055",77.7142875311024,8.6834639598057,2.21310004173293,3.9236653545071,8.72118576986439e-05,0.000543710366674831
"MODEL1112",69.8788734414218,8.52770270009626,2.17438803678385,3.9218863219601,8.78584433459329e-05,0.000543710366674831
"MODEL801",1317.55963710961,2.34275124549581,0.596951939354878,3.92452237951954,8.6901980795299e-05,0.000543710366674831
"MODEL981",1747.33504022879,2.89225106325148,0.737264335454793,3.92294991655517,8.74713397949388e-05,0.000543710366674831
"MODEL1261",136.388721075216,9.49427035324699,2.4228880109891,3.91857581125721,8.90737144077867e-05,0.000548360054322937
"MODEL1425",65.554916926738,8.43637161305768,2.15486270556817,3.91503903764174,9.03895818557793e-05,0.000553577646391353
"MODEL1135",648.588989766266,-4.11220889992798,1.05594108970883,-3.89435446731398,9.8460583129357e-05,0.000598141749937782
"MODEL294",614.060507259063,5.40290985643595,1.3875605353198,3.89381920205068,9.86782074770452e-05,0.000598141749937782
"MODEL803",319.333835409456,2.08150998807951,0.537457422192323,3.8728835106396,0.000107555242432602,0.000648623962017015
"MODEL121",363.012916061347,2.12874769014941,0.549961450769239,3.87072164271132,0.000108513644096105,0.000648866890427345
"MODEL901",976.885301433299,1.85132855578088,0.478340155426334,3.87031808803681,0.000108693438497982,0.000648866890427345
"MODEL1302",203.160113370645,2.1648732502975,0.560739301474737,3.86074820260308,0.000113040347915997,0.00067142558410406
"MODEL763",133.125821441376,2.4730601968976,0.640819478830568,3.85921508099394,0.000113751792375513,0.000672273092939281
"MODEL1368",801.607122012968,-1.85398985050336,0.48088867004096,-3.85534109245171,0.000115568380515099,0.00067733394406693
"MODEL1408",1616.55911982852,-2.83044449233719,0.734418826963288,-3.85399228399502,0.000116207258951061,0.00067733394406693
"MODEL636",73.0412020823485,8.5939478429078,2.23002806446117,3.85373977120072,0.00011632723404872,0.00067733394406693
"MODEL627",127.934839797368,2.89607054241979,0.751833530543175,3.85201035171639,0.000117152069245622,0.000678792871805514
"MODEL1088",64.5220019057495,8.4130342364839,2.18542435160945,3.8496112804308,0.000118305426418363,0.000682131775739049
"MODEL1054",468.171596097463,-1.9598661335761,0.510297649400597,-3.84063327722201,0.000122717324721364,0.000704135329226469
"MODEL866",97.5351385839877,9.01074518580331,2.34920192822506,3.83566226365709,0.000125226395975734,0.00071506086977448
"MODEL1202",95.3275460424746,3.49362649597485,0.912192647620612,3.82992178799919,0.000128183993942314,0.000728430196345263
"MODEL809",83.3402686232093,8.78136713846369,2.29926745334153,3.81920212270292,0.000133884027314988,0.000757181436776633
"MODEL1371",108.242005170481,9.15916773869171,2.40416874557206,3.80970252423457,0.000139134095910393,0.000783126196981353
"MODEL278",149.90182827259,9.63051964137225,2.54217284745012,3.78830245592151,0.000151680127105384,0.000849696257054803
"MODEL893",56.6500810684607,8.22640973627862,2.17707082157994,3.7786596810427,0.000157674732300867,0.000879111007451063
"MODEL652",75.4502729292375,8.64130638066302,2.29425128986961,3.76650387811447,0.000165549513616457,0.00091439030418062
"MODEL864",166.911193675314,-2.23286837274515,0.59267000425395,-3.76747322577237,0.00016490822065213,0.00091439030418062
"MODEL1067",195.284016216093,10.0119665578351,2.65995438233541,3.76396175224805,0.000167242474646264,0.000919444674566904
"MODEL286",78.3190707828297,4.22622732715001,1.12501902623159,3.75658298091756,0.000172249173254897,0.000942585753644855
"MODEL1392",52.6277253308467,8.12074064196767,2.16461498126972,3.75158663884153,0.000175719008888683,0.000957142251181672
"MODEL125",56.106571499317,-2.86390382458388,0.766144358970943,-3.73807336835394,0.000185435837987567,0.00100543651606103
"MODEL1362",51.8870074107841,8.10183909572516,2.16839841492076,3.73632402605368,0.00018673001944664,0.00100783051591748
"MODEL804",267.431823269267,-2.13901161998595,0.57532925069309,-3.71789130729772,0.000200892665185179,0.00107934150113128
"MODEL732",53.8289990850907,8.15412698373496,2.20741940218517,3.69396362814561,0.000220785396166386,0.00118085220936049
"MODEL1416",924.376731453045,2.29066643143053,0.620442579114416,3.6919877979685,0.000222508142677963,0.0011847055164205
"MODEL558",189.779568883779,9.96986795808958,2.70419573709598,3.68681446439826,0.000227078790309592,0.00120361941769479
"MODEL1212",53.8628463087909,8.15134521954337,2.21428254112701,3.68125795518152,0.000232086049885045,0.00122466835251841
"MODEL172",57.8767468007577,8.25412981377754,2.24511128550622,3.67649027781553,0.000236464862853815,0.0012420902925415
"MODEL990",46.7934215248001,7.95006261317922,2.16305469033208,3.67538677996102,0.000237489345274432,0.0012420902925415
"MODEL1078",93.5699695484548,8.95109881745814,2.44276175456982,3.66433558275292,0.000247981476740213,0.00129125156610983
